,AGE,EDUCATION_LEVEL,MARITAL_STATUS,NO_OF_KIDS,OCCUPATION_CATEGORY,INCOME,RISK_LEVEL,SPENDING_VS_INCOME,SPENDING_LEVEL,NETWORTH,RISK_TOLERANCE
280,43,Masters/phd,married,0,Senior_level,93717.914866,2,spends_less,3,275158.29523,20.71912694185475
281,43,Masters/phd,married,0,Senior_level,75613.317676,2,spends_less,3,581488.07969,18.898707666242927
282,43,Bachelors/degree,single,2,Senior_level,125667.20402,3,spends_less,5,1400644.7841,7.276614219199404
283,43,Bachelors/degree,single,2,Senior_level,124602.22772,3,spends_less,5,1456049.2583,6.6068317853906
284,67,Bachelors/degree,single,0,Junior_level,71353.412455,4,spends_less,4,1526988.7329,0.8955107732920615
285,85,Masters/phd,married,0,mid_level,372741.70685,4,spends_less,3,56239165.905,0.8501253570325937
286,59,Masters/phd,married,0,Junior_level,53248.815265,3,spends_less,3,513739.28152,1.8212641527859623
287,59,Masters/phd,married,0,Junior_level,48988.910043,3,spends_less,3,424077.2371,1.997425400034191
288,59,Masters/phd,married,0,Junior_level,47923.933738,3,spends_less,3,515375.5258,1.750624647073403
289,59,Masters/phd,married,0,Junior_level,50053.886349,3,spends_less,3,426738.72306,1.9473427897439184
290,59,Masters/phd,married,0,Junior_level,48988.910043,3,spends_less,3,488967.78576,1.80509555508404
291,40,high_school,married,3,Senior_level,53248.815265,3,spends_less,4,268892.92946,23.32440412147548
292,40,high_school,married,3,Senior_level,63898.578318,3,spends_less,4,256672.8772,24.764173495440104
293,40,high_school,married,3,Senior_level,56443.744181,3,spends_less,4,229125.97975,23.762674767658865
294,40,high_school,married,3,Senior_level,58573.696791,3,spends_less,4,232439.89223,23.458251955264878
295,40,high_school,married,3,Senior_level,61768.625707,3,spends_less,4,231300.73481,24.968568006104427
296,88,Masters/phd,married,0,mid_level,2747638.8677,1,spends_less,5,148219913.46,0.4547414635342328
297,88,Masters/phd,married,0,mid_level,2736989.1046,1,spends_less,5,140790328.8,0.4506097556211594
298,88,Masters/phd,married,0,mid_level,2736989.1046,1,spends_less,5,125480053.17,0.4516349335445253
299,88,Masters/phd,married,0,mid_level,2736989.1046,1,spends_less,5,102972373.87,0.4508435478362725
300,88,Masters/phd,married,0,mid_level,2747638.8677,1,spends_less,5,98515368.713,0.451802794947464
301,52,high_school,married,1,Senior_level,63898.578318,3,spends_less,2,204478.75572,8.010587937813009
302,52,high_school,married,1,Senior_level,64963.554623,3,spends_less,2,203443.15807,8.069122874991443
303,52,high_school,married,1,Senior_level,64963.554623,3,spends_less,2,202407.56042,8.069122874991443
304,52,high_school,married,1,Senior_level,63898.578318,3,spends_less,2,205514.35336,8.010587937813009
305,52,high_school,married,1,Senior_level,64963.554623,3,spends_less,2,204468.39974,8.069122874991443
306,36,Masters/phd,single,0,Senior_level,51118.862654,2,spends_more,3,45473.09275,22.81845894978583
307,36,Masters/phd,single,0,Senior_level,51118.862654,2,spends_more,3,45369.532985,22.831164656753817
308,36,Masters/phd,single,0,Senior_level,51118.862654,2,spends_more,3,45379.888961,22.92478918560452
309,36,Masters/phd,single,0,Senior_level,51118.862654,2,spends_more,3,45483.448726,22.852838508146316
310,36,Masters/phd,single,0,Senior_level,51118.862654,2,spends_more,3,45379.888961,22.85387611888836
311,51,Masters/phd,single,0,Senior_level,34079.241769,3,spends_more,5,69395.398432,6.038572830332541
312,51,Masters/phd,single,0,Senior_level,34079.241769,3,spends_more,5,61214.177008,5.541859638358408
313,51,Masters/phd,single,0,Senior_level,34079.241769,3,spends_more,5,51479.559112,5.896654517360718
314,51,Masters/phd,single,0,Senior_level,34079.241769,3,spends_more,5,48269.206401,5.541859638358408
315,70,high_school,married,0,mid_level,40362.601971,3,spends_less,4,1405202.4494,1.3754732142999515
316,70,high_school,married,0,mid_level,37061.175424,3,spends_less,4,1237124.951,1.3878000000049535
317,63,Masters/phd,married,0,Junior_level,106497.63053,3,spends_averagely,4,2398671.9856,1.0018781930882787
318,63,Masters/phd,married,0,Junior_level,105432.65422,3,spends_averagely,4,2408002.7204,0.9991343358904752
319,63,Masters/phd,married,0,Junior_level,105432.65422,3,spends_averagely,4,2408002.7204,0.9991343358904752
320,63,Masters/phd,married,0,Junior_level,105432.65422,3,spends_averagely,4,2398671.9856,0.9949852559773518
321,63,Masters/phd,married,0,Junior_level,105432.65422,3,spends_averagely,4,2397646.744,0.9949863036020236
322,38,Masters/phd,married,3,Senior_level,95847.867476,3,spends_less,5,112569.4644,36.07915495656217
323,38,Masters/phd,married,3,Senior_level,95847.867476,3,spends_less,5,118783.05029,36.07915495656217
324,38,Masters/phd,married,3,Senior_level,95847.867476,3,spends_less,5,120232.887,36.07915495656217
325,38,Masters/phd,married,3,Senior_level,95847.867476,3,spends_less,5,101177.89027,36.07915495656217
326,38,Masters/phd,married,3,Senior_level,95847.867476,3,spends_less,5,116608.29523,36.08761240753019
327,39,Masters/phd,married,2,Senior_level,106497.63053,2,spends_less,4,668271.16264,14.297587102452216
328,39,Masters/phd,married,2,Senior_level,106497.63053,2,spends_less,4,783740.30046,13.559961237236935
329,57,Masters/phd,single,0,Senior_level,26624.407632,4,spends_less,5,163935.10777,3.25796108077832
330,48,Masters/phd,single,0,Senior_level,58573.696791,4,spends_less,3,74418.047028,13.708589322004483
331,48,Masters/phd,single,0,Senior_level,58573.696791,4,spends_less,3,74407.691052,13.708589322004483
332,48,Masters/phd,single,0,Senior_level,58573.696791,4,spends_less,3,74418.047028,13.708589322004483
333,48,Masters/phd,single,0,Senior_level,58573.696791,4,spends_less,3,74407.691052,13.708589322004483
334,48,Masters/phd,single,0,Senior_level,58573.696791,4,spends_less,3,74407.691052,13.708589322004483
335,47,high_school,married,2,Junior_level,47923.933738,4,spends_averagely,1,44116.45983,7.597955143968486
336,47,high_school,married,2,Junior_level,47923.933738,4,spends_averagely,1,37902.873939,7.662426290243612
337,47,high_school,married,2,Junior_level,47923.933738,4,spends_averagely,1,31689.288047,8.311958465763608
338,47,high_school,married,2,Junior_level,47923.933738,4,spends_averagely,1,34796.080993,7.610772388553981
339,47,high_school,married,2,Junior_level,47923.933738,4,spends_averagely,1,36856.920314,8.247252495004908
340,68,Bachelors/degree,married,0,Junior_level,1682662.5624,3,spends_less,5,118539684.85,0.7380990688181303
341,59,Masters/phd,married,2,Senior_level,2843486.7351,3,spends_less,5,26432076.584,4.3389006780724095
342,59,Masters/phd,married,2,Senior_level,2843486.7351,3,spends_less,5,28896798.988,4.3389006780724095
343,59,Masters/phd,married,2,Senior_level,2843486.7351,3,spends_less,5,27177706.891,4.3389006780724095
